targa,numero_assi
SZ713RT,2
EK905NE,6
UC310SH,4
IZ723DQ,4
RY086QK,3
SR399NI,2
TB974WZ,4
GI260AQ,2
YD465LT,2
XH019GH,2
YQ759OR,3
PK573DG,2
FJ600VF,4
TC611QY,4
DF121HX,3
CK933DU,3
WA613UM,8
JZ732NP,4
CC937HN,8
OX100NB,6
BQ834FZ,8
NT398XK,6
HF540MF,8
BD440BB,8
ES299QU,6
KB078AX,6
BH846ZC,4
HO055QV,8
JH692YW,6
DN714QT,2
XI836LO,2
GJ597IN,6
NP825YB,3
CX215NG,3
QF487HT,8
LV348QE,2
TC999BB,4
RQ413AX,4
BR918LX,2
MG675TE,6
VX593FJ,8
AN683FZ,6
FE722MC,4
AE807RY,4
DS908IT,3
HR541ZC,6
ET947VR,2
OI554SX,2
NJ521HX,4
BP429IM,8
ZO614SP,4
BY223HC,4
RU375UY,8
TH004XQ,4
XW588DT,8
ED042NJ,8
SY641YZ,8
UJ872WM,6
TU790ZX,6
YW431EC,3
OZ237YQ,4
UX795AK,3
LH033EJ,8
KA389VR,6
QQ505IM,2
TW764XE,3
FZ730FA,6
VL093XY,3
JE536LP,3
RD882KY,4
EU437UF,4
ZS285RY,2
KV667JV,6
EO105LY,2
YU620YX,4
IM847ZW,3
HV821OJ,8
VT200RI,6
KO917FN,8
VU999IR,4
GR564RI,6
EC796IX,8
SS951WE,8
TP340LG,3
MI817QL,4
ZP506WM,3
OE679FP,6
EE292ZD,2
CV474JN,6
OR464KP,6
ZL865OD,2
MO549JQ,3
EA760XP,3
AL767VZ,2
YH283KJ,3
JR197LK,3
YF338AP,8
MY871WU,3
CX754WJ,3
SO186CF,6
VO542EO,2
UA250CH,2
YT356KN,8
HT772XL,2
UF360MJ,4
ZM679XT,4
UF482JB,8
NQ052AI,6
GI083WF,8
SA512HJ,2
HY358BQ,3
JE146MI,2
KL345KW,4
NW907FR,3
VM641WF,2
GP140DV,8
EH323FA,4
AX695OB,8
PZ263XF,4
LT797ZD,3
UD739ZM,2
BH192DZ,2
MX235RA,3
YA785DH,4
LD268EW,6
VX835MG,2
YR727IX,6
FE988ET,8
VI084HE,6
QE161CQ,3
NB770OS,6
JC670UR,6
MA182CP,2
VB315WQ,2
AK818ZO,6
ZJ143FM,6
AR017ZL,6
PW925NZ,4
EE057CP,8
UC970IP,8
RP338MZ,6
BA916RO,6
SO717KG,4
ZQ342WD,6
ZQ828VP,8
ID530ZJ,6
JX579KT,2
TC474LH,6
