targa,bauletto
XC320WG,false
YZ762FF,false
MK702VD,false
UI017OB,false
NK422YW,false
ZK027JP,true
OS282AR,false
LT456HJ,false
KM176RQ,false
TN078NB,true
WM874BC,true
UT118YT,true
UA108GD,false
SN874OS,true
CO412GP,false
JJ342DS,true
BH404RP,true
IP951MM,true
ZF182CM,false
TJ882AR,true
IK646DH,false
NW655BF,true
LR148FV,true
BP786VC,true
KV136UD,true
GM889BZ,false
GH481LY,false
MR577FG,true
RI248WE,true
WM437QY,true
OF737EM,true
CF879XP,true
RM212KC,true
WB537ZB,false
QA733EK,true
PA927ET,false
XB386YO,true
FA920MK,true
TW709BE,true
JA419AU,true
JA631FF,false
QK788NX,true
KY842JU,true
AQ001VR,false
MF457PL,true
MN562QL,false
DX490ZM,true
LO186LB,false
MH594YK,true
ZC781CG,true
EG219LU,true
VF943JL,false
ED709ZM,false
KZ620LE,true
VU128QY,true
CQ676VU,false
IC991OK,true
TW268HA,true
EA376IB,true
ZB429OR,false
MU608NZ,false
EY173LC,false
JO503QR,true
GX201WW,false
VW572LP,true
EO615AF,true
QV578DW,true
TV114IW,false
FN128EY,false
WA134AH,false
JI606YR,false
RH098PG,false
YP574EG,true
ZH822QM,false
XX458HP,false
BI219SC,false
LC050GJ,true
LS967HH,false
QZ885FN,true
LF755HJ,true
PJ557NR,true
YV670VN,true
IK772JQ,false
AC841XQ,false
HQ591YJ,false
JK014TU,false
WT510WJ,false
AR247KS,false
SA547QO,true
GL022PX,false
GH138VF,false
QB256QH,true
BC376BO,true
GL907UR,false
KN043DQ,false
OE210PZ,false
OO106LP,false
TQ926UC,true
II686FN,false
ZJ336BY,false
VZ869SQ,false
JE141JR,true
OP977CN,true
PJ045YL,false
YR003LK,false
QE122WN,false
XX061XG,false
JY011CK,true
RO354OD,true
LI337WG,true
BA014KV,false
FP955EF,false
ZP031XN,true
DQ769WT,false
KA418SV,true
DW396XU,true
JA985JD,true
NZ046MK,false
UI338LA,true
GE533FH,true
QI932NE,false
WJ875AF,false
IV817AI,false
VQ626EJ,true
FB086FQ,true
WQ840LS,true
HV580WR,false
TF178UQ,true
PE569HF,false
LE763EQ,true
YV845EM,true
XR999BV,true
RG353IK,true
KI448EE,false
NM860EW,true
CQ395HG,true
VW931SP,false
ZY244PJ,false
FB597TY,false
OZ036XH,false
UP017MS,true
TE321JN,true
PC208NS,false
KF132EA,true
AA165DM,false
UZ120XS,true
VJ003ES,true
BZ227LC,true
UM417CG,false
HQ185GG,false
OZ138FV,false
RP946JC,true
YR449XS,false
PF066AI,true
NK142SN,true
EW677HE,true
PJ053SZ,false
LR418AW,true
MU807YT,true
AA831BO,true
OX181EX,true
NU406ZF,true
SV582GC,false
GD203KH,false
OY292XU,true
OR273PH,false
BQ369WM,false
KG014VU,true
JN149GF,false
EJ104DY,false
DR588GR,true
RH667WD,true
AF385BS,true
BD119RN,true
ZI476NK,false
QQ867TV,false
XC126TI,false
WF452LV,false
YR121GK,true
ZX828VU,true
OD249SJ,false
FR091ZV,true
GS165GG,false
BI797QF,false
KO903UH,false
WN021QB,false
PU610QI,true
DU227WJ,true
QY624DO,false
RN948PX,true
JI780EB,true
VB048KE,true
EN990VE,false
JA829GV,false
GF259GF,true
BH507KY,false
NK041AO,true
TH500FB,true
XG900CQ,true
PD173VO,false
LA447IW,false
